"NOMBRE_EST","NIVMOD","NIVELMODAL","TIPEST","COMUNA","ESTADO","POINT_X","POINT_Y","nivel","long","lat","niv","num_niv","geometry"
"Inst. Adelia María Harilaos de Olmos","IniCom - SecCom","Nivel Inicial y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",10,"1",98291.1836,99948.8849,"Inicial y Secundario Común",-58.4819352260443,-34.6297292809054,"Inicial y Secundario",2,c(-58.4819352260443, -34.6297292809054)
"Inst. Educativo Paulo Freire","SecAdu","Nivel Secundario de Jóvenes y Adultos","Instituto Educativo Incorporado a la Enseñanza Oficial",11,"1",99846.2892,102900.1648,"Secundario de Jóvenes y Adultos",-58.4649754087845,-34.6031267414744,"Secundario",1,c(-58.4649754087845, -34.6031267414744)
"Escuela Infantil N° 06/19°","IniCom","Nivel Inicial Común","Escuela Infantil",7,"1",102789.1255,97906.1159,"Inicial Común",-58.4328766572127,-34.6481414316066,"Inicial",1,c(-58.4328766572127, -34.6481414316066)
"Image Campus Educación Avanzada en Medios Digitales","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",107323.0641,101983.4594,"Superior No Universitario Común",-58.3834561754625,-34.6113645944771,"Superior",1,c(-58.3834561754625, -34.6113645944771)
"Inst. Sup. de Alta Montaña del Centro Andino Bs. As.","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",107988.5152,100296.5619,"Superior No Universitario Común",-58.3761849752044,-34.6265660212471,"Superior",1,c(-58.3761849752044, -34.6265660212471)
"Esc. Primaria Común N° 07 Recuerdos de Provincia","PriCom","Nivel Primario Común","Escuela de Jornada Simple",10,"1",97270.1424,98413.9627,"Primario Común",-58.4930751594201,-34.6435633805606,"Primario",1,c(-58.4930751594201, -34.6435633805606)
"Centro de Alfabetización, Educación Básica y Trabajo N° 28","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",7,"1",103481.0317,99135.6854,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4253344300915,-34.6370555637151,"Primario",1,c(-58.4253344300915, -34.6370555637151)
"Jardín de Infantes Nucleado A (EPCjs 09/02°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",14,"1",103972.6216,104059.5526,"Inicial Común",-58.4199956991059,-34.5926680667772,"Inicial",1,c(-58.4199956991059, -34.5926680667772)
"Centro de Actividades Infantiles y Juveniles Club Retiro","OSECom","Otros Servicios Educativos de la modalidad Común","Centro de Actividades Infantiles y Juveniles",1,"1",108506.1459,104571.351,"Otros Servicios Educativos de la modalidad Común",-58.370582779395,-34.5880271952452,"Otros",1,c(-58.370582779395, -34.5880271952452)
"Esc. de Comercio N° 18 Reino de Suecia","SecCom","Nivel Secundario Común","Escuela de Comercio",4,"1",106607.9594,99105.5548,"Secundario Común",-58.3912307343752,-34.6373119557603,"Secundario",1,c(-58.3912307343752, -34.6373119557603)
"Esc. Superior de Enfermería Dra. Cecilia Grierson anexo","SNUCom - OSEAdu","Nivel Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Instituto de Educación Superior (Formación Técnica)",8,"1",99655.4405,94742.8638,"Superior No Universitario Común - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4670598780913,-34.6766596236657,"Superior",1,c(-58.4670598780913, -34.6766596236657)
"Jardín de Infantes Integral N° 02/21°","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",8,"1",99962.8999,94097.522,"Inicial Común",-58.4637050818882,-34.6824770101135,"Inicial",1,c(-58.4637050818882, -34.6824770101135)
"Inst. Glaux","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",11,"1",97330.5644,103455.7989,"Inicial, Primario y Secundario Común",-58.4923999266875,-34.5981144240398,"Inicial a Secundario",3,c(-58.4923999266875, -34.5981144240398)
"Esc. Normal Superior N° 01 en Lenguas Vivas Presidente R. Saenz Peña","IniCom - PriCom - SecCom - SNUCom","Nivel Inicial, Primario, Secundario y Superior No Universitario Común","Escuela Normal Superior",2,"1",106254.1436,103298.4744,"Inicial, Primario, Secundario y Superior No Universitario Común",-58.3951202380649,-34.5995175155778,"Inicial a Superior",4,c(-58.3951202380649, -34.5995175155778)
"Jardín Maternal N° 06/04°","IniCom","Nivel Inicial Común","Jardín Maternal",1,"1",108574.0389,102060.4051,"Inicial Común",-58.3698175540978,-34.6106613535445,"Inicial",1,c(-58.3698175540978, -34.6106613535445)
"Inst. Regina Virginum Adoratrices","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",15,"1",101491.9243,102765.0307,"Inicial, Primario y Secundario Común",-58.4470345508443,-34.6043439132141,"Inicial a Secundario",3,c(-58.4470345508443, -34.6043439132141)
"La Pata Cata","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",1,"1",106746.2948,103236.4551,"Inicial Común",-58.3897545783969,-34.6000734944554,"Inicial",1,c(-58.3897545783969, -34.6000734944554)
"Inst. Terciario Tamaba","SNUCom","Nivel Superior No Universitario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",3,"1",106305.8394,101935.5616,"Superior No Universitario Común",-58.3945466406532,-34.6118030643173,"Superior",1,c(-58.3945466406532, -34.6118030643173)
"Centro de Formación Profesional N° 37","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional",4,"1",105358.3283,98591.0784,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.4048565077654,-34.6419568598289,"Otros",1,c(-58.4048565077654, -34.6419568598289)
"Esc. Nacional de Experimentación y Realización Cinematográfica","SNUCom","Nivel Superior No Universitario Común","No Corresponde - Gob Nac",1,"1",107353.1581,101929.4132,"Superior No Universitario Común",-58.3831275952805,-34.6118515752161,"Superior",1,c(-58.3831275952805, -34.6118515752161)
"Jardín de Infantes Nucleado B (EPCjs 01/19°) Homero Manzi","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",4,"1",103867.0863,98424.5914,"Inicial Común",-58.4211207713541,-34.6434642642604,"Inicial",1,c(-58.4211207713541, -34.6434642642604)
"Esc. Primaria Común N° 01 Juan José Castelli","PriCom","Nivel Primario Común","Escuela de Jornada Completa",2,"1",106519.1811,104333.4398,"Primario Común",-58.3922388179559,-34.5901862570494,"Primario",1,c(-58.3922388179559, -34.5901862570494)
"Centro Educativo de Nivel Primario N° 49 - CeSAC N° 12 H° Pirovano","PriAdu","Nivel Primario de Jóvenes y Adultos","Centro Educativo de Nivel Primario",12,"1",99000.4463,106585.7045,"Primario de Jóvenes y Adultos",-58.4741921698121,-34.5699031079289,"Primario",1,c(-58.4741921698121, -34.5699031079289)
"Jardín de Infantes Nucleado E (EPCjc 21/10°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",12,"1",98672.1737,108819.4168,"Inicial Común",-58.477765925672,-34.5497669431967,"Inicial",1,c(-58.477765925672, -34.5497669431967)
"Jardín de Los Robles","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",2,"1",105738.3344,103961.1402,"Inicial Común",-58.4007477519009,-34.5935469457565,"Inicial",1,c(-58.4007477519009, -34.5935469457565)
"Centro de Alfabetización, Educación Básica y Trabajo N° 45 SEC","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",9,"1",95280.1917,98513.044,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.514779460912,-34.642662888177,"Primario",1,c(-58.514779460912, -34.642662888177)
"Centro Educativo de Nivel Secundario N° 47","SecAdu","Nivel Secundario de Jóvenes y Adultos","Centro Educativo de Nivel Secundario",5,"1",103391.1194,101175.6429,"Secundario de Jóvenes y Adultos",-58.4263230750152,-34.6186668935276,"Secundario",1,c(-58.4263230750152, -34.6186668935276)
"Jardín de Infantes Nucleado A (EPCjc 14/19°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",8,"1",102644.9347,96375.7832,"Inicial Común",-58.4344447858842,-34.6619367571096,"Inicial",1,c(-58.4344447858842, -34.6619367571096)
"Centro de Formación Profesional - Esc de Oficios CADMIBA","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional (Privado)",3,"1",106136.1477,102550.0861,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.396401205605,-34.6062645075549,"Otros",1,c(-58.396401205605, -34.6062645075549)
"Escuela Infantil N° 05/21° Hebe San Martín Duprat","IniCom","Nivel Inicial Común","Escuela Infantil",8,"1",99526.9386,94782.9503,"Inicial Común",-58.4684620112562,-34.6762982130342,"Inicial",1,c(-58.4684620112562, -34.6762982130342)
"CENOF Centro Conviven Mataderos","OSEAdu","Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Centro de Educación No Formal",8,"1",97462.0314,95875.0122,"Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.4909899559159,-34.6664508665185,"Otros",1,c(-58.4909899559159, -34.6664508665185)
"Esc. Primaria Común N° 13 Fray Mamerto Esquiú","PriCom","Nivel Primario Común","Escuela de Jornada Completa",4,"1",107405.6698,98105.5172,"Primario Común",-58.3825219016488,-34.6463212456193,"Primario",1,c(-58.3825219016488, -34.6463212456193)
"Inst. Carlos Pellegrini","SecCom - SecAdu","Nivel Secundario Común - Nivel Secundario de Jóvenes y Adultos","Instituto Educativo Incorporado a la Enseñanza Oficial",6,"1",102435.2325,101321.2705,"Secundario Común - Secundario de Jóvenes y Adultos",-58.4367464541909,-34.6173568104752,"Secundario",1,c(-58.4367464541909, -34.6173568104752)
"Centro de Formación Profesional - Cosiendo Redes","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional (Privado)",4,"1",107688.7561,97160.9244,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.3794255985108,-34.6548340625256,"Otros",1,c(-58.3794255985108, -34.6548340625256)
"Liceo Comercial N° 03 José Manuel Estrada - Anexo","SecAdu","Nivel Secundario de Jóvenes y Adultos","Liceo",4,"1",107710.9057,98420.524,"Secundario de Jóvenes y Adultos",-58.3791953610012,-34.6434794283113,"Secundario",1,c(-58.3791953610012, -34.6434794283113)
"Esc. Primaria Común N° 15 República Argentina","PriCom","Nivel Primario Común","Escuela de Jornada Simple",8,"1",99194.9967,95984.9369,"Primario Común",-58.4720827828095,-34.6654628899305,"Primario",1,c(-58.4720827828095, -34.6654628899305)
"JardínLa Luna y el Sol","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",12,"1",98078.6891,106081.4304,"Otros Servicios Educativos de la modalidad Común",-58.4842382925162,-34.5744475130631,"Otros",1,c(-58.4842382925162, -34.5744475130631)
"Inst. San Ramón Nonato","IniCom - PriCom - SecCom","Nivel Inicial, Primario y Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",10,"1",96508.2324,100145.9554,"Inicial, Primario y Secundario Común",-58.5013782435224,-34.6279481954212,"Inicial a Secundario",3,c(-58.5013782435224, -34.6279481954212)
"Jardín de Infantes Nucleado C (EPCjs 17/12°)","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",11,"1",98525.2563,101804.833,"Inicial Común",-58.4793792157418,-34.6129994015317,"Inicial",1,c(-58.4793792157418, -34.6129994015317)
"Esc. Primaria Común N° 02 José Maria Gutiérrez","PriCom","Nivel Primario Común","Escuela de Jornada Simple",4,"1",105253.0126,99637.5996,"Primario Común",-58.4060116074967,-34.6325236692293,"Primario",1,c(-58.4060116074967, -34.6325236692293)
"Jardín de Infantes Integral N° 03/13° Jardín del Parque","IniCom","Nivel Inicial Común","Jardín de Infantes Integral",9,"1",98852.1007,98276.8993,"Inicial Común",-58.4758205587876,-34.6448019970658,"Inicial",1,c(-58.4758205587876, -34.6448019970658)
"Escuela Infantil Cinco Soles","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",14,"1",102330.3401,105932.9152,"Otros Servicios Educativos de la modalidad Común",-58.4379025378203,-34.5757856797833,"Otros",1,c(-58.4379025378203, -34.5757856797833)
"Centro de Formación Profesional N° 11 (sede) - SUTECBA","OSECom - OSEAdu","Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos","Centro de Formación Profesional",5,"1",103391.1194,101175.6429,"Otros Servicios Educativos de las modalidades Común y de Jóvenes y Adultos",-58.4263230750152,-34.6186668935276,"Otros",1,c(-58.4263230750152, -34.6186668935276)
"Escuela Infantil La Casita de Any","IniCom","Nivel Inicial Común","Instituto Educativo Incorporado a la Enseñanza Oficial",13,"1",99590.9457,108034.4696,"Inicial Común",-58.4677563469305,-34.5568436738833,"Inicial",1,c(-58.4677563469305, -34.5568436738833)
"Jardín de Infantes Común N° 09/01°","IniCom","Nivel Inicial Común","Jardín de Infantes Común",14,"1",104883.4852,105126.0956,"Inicial Común",-58.4100728211539,-34.5830498958465,"Inicial",1,c(-58.4100728211539, -34.5830498958465)
"Esc. de Educación Media N° 01/21°","SecCom","Nivel Secundario Común","Escuela de Educación Media",8,"1",99655.4405,94742.8638,"Secundario Común",-58.4670598780913,-34.6766596236657,"Secundario",1,c(-58.4670598780913, -34.6766596236657)
"Inst. Piedra Libre","IniEsp - PriEsp - OSEEsp","Nivel Inicial y Primario Especial - Otros Servicios Educativos de la modalidad Especial","Instituto Educativo Incorporado a la Enseñanza Oficial",12,"1",96238.341,106721.2767,"Inicial y Primario Especial - Otros Servicios Educativos de la modalidad Especial",-58.5042919045554,-34.5686744511089,"Inicial a Primario",2,c(-58.5042919045554, -34.5686744511089)
"UGEE N° 05 Bachillerato Popular de Adultos y Adolescentes Miguelito Pepe","SecAdu","Nivel Secundario de Jóvenes y Adultos","Unidad de Gestión Educativa Experimental",1,"1",106739.6979,99763.0148,"Secundario de Jóvenes y Adultos",-58.389799125415,-34.63138451629,"Secundario",1,c(-58.389799125415, -34.63138451629)
"Colegio de Las Victorias","SecCom","Nivel Secundario Común","Instituto Educativo Incorporado a la Enseñanza Oficial",5,"1",103528.5379,100711.1411,"Secundario Común",-58.4248227643705,-34.62285364138,"Secundario",1,c(-58.4248227643705, -34.62285364138)
"Esc. de Educacion Media N° 01/13° Manuel Mujica Lainez","SecCom","Nivel Secundario Común","Escuela de Educación Media",8,"1",99266.4422,96220.3035,"Secundario Común",-58.4713030854313,-34.6633412740941,"Secundario",1,c(-58.4713030854313, -34.6633412740941)
"Verde Limón","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",1,"1",106760.6954,102991.0263,"Otros Servicios Educativos de la modalidad Común",-58.3895956511003,-34.6022857990539,"Otros",1,c(-58.3895956511003, -34.6022857990539)
"Centro de Alfabetización, Educación Básica y Trabajo N° 88","PriAdu - OSEAdu","Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos","Programa de Alfabetización, Educación Básica y Trabajo para Jóvenes y Adultos",4,"1",106073.2731,97417.3189,"Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos",-58.3970502499035,-34.6525335960226,"Primario",1,c(-58.3970502499035, -34.6525335960226)
"Jardín de Infantes Nucleado C (EPCjc 12/07°) [Sede]","IniCom","Nivel Inicial Común","Jardín de Infantes Nucleado",7,"1",100240.2062,101538.767,"Inicial Común",-58.4606806487499,-34.6153989527487,"Inicial",1,c(-58.4606806487499, -34.6153989527487)
"UGEE N° 12 Bachillerato Popular de Adultos y Adolescentes Flores","SecAdu","Nivel Secundario de Jóvenes y Adultos","Unidad de Gestión Educativa Experimental",7,"1",100120.183,100677.003,"Secundario de Jóvenes y Adultos",-58.4619892618456,-34.6231672542261,"Secundario",1,c(-58.4619892618456, -34.6231672542261)
"Esc. de Música N° 10","OSECom","Otros Servicios Educativos de la modalidad Común","Escuela de Música - Primaria",2,"1",105118.1926,103850.5096,"Otros Servicios Educativos de la modalidad Común",-58.4075070668371,-34.5945474626918,"Otros",1,c(-58.4075070668371, -34.5945474626918)
"Inst. Mundo Creativo","OSECom","Otros Servicios Educativos de la modalidad Común","Instituto Educativo Asistencial No Incorporado a la Enseñanza Oficial",5,"1",103139.8458,101594.4666,"Otros Servicios Educativos de la modalidad Común",-58.4290644799344,-34.6148922338106,"Otros",1,c(-58.4290644799344, -34.6148922338106)
